InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode
INV101948,5/19/2024 12:02,S011,C0025,Clothing,4,25.42,17.49,20.02,New,Digital
INV100768,5/19/2024 19:06,S005,A0002,Accessories,6,17.7,18.69,7.16,New,Cash
INV104317,5/19/2024 20:52,S006,SH0017,Shoes,6,115.89,11.1,98.21,New,Cash
INV100373,5/19/2024 21:13,S009,SH0007,Shoes,3,92.07,3.74,67.56,New,Card
INV103709,5/20/2024 0:06,S009,SH0036,Shoes,4,57.8,17.14,45.32,New,Card
INV105046,5/20/2024 0:18,S017,SH0013,Shoes,1,90.46,6.69,66.6,New,Digital
INV108782,5/20/2024 3:04,S010,C0065,Clothing,1,56.61,11.44,43.82,Returning,Digital
INV107499,5/20/2024 7:07,S019,A0051,Accessories,5,24.12,0.69,13.82,New,Cash
INV107772,5/20/2024 12:16,S016,C0087,Clothing,5,22.45,7.48,15.48,Returning,Cash
INV106663,5/21/2024 4:14,S011,C0059,Clothing,5,96.82,1.98,49.71,New,Card
INV105710,5/21/2024 5:29,S012,C0008,Clothing,2,81.42,6.62,61.39,New,Cash
INV108662,5/21/2024 19:26,S010,C0005,Clothing,1,112.44,1.7,82.17,Returning,Digital
INV101232,5/21/2024 21:27,S009,A0042,Accessories,1,27.19,2.6,15.44,New,Digital
INV104924,5/21/2024 23:30,S015,SH0030,Shoes,6,138.66,9.21,87.98,New,Digital
INV107184,5/22/2024 2:23,S004,SH0037,Shoes,1,129.04,19.34,83.6,Returning,Digital
INV103452,5/22/2024 5:32,S016,SH0037,Shoes,5,180.35,10.75,109.59,Returning,Card
INV104296,5/22/2024 6:03,S003,SH0015,Shoes,4,85.7,14.73,66.38,New,Cash
INV105938,5/22/2024 8:20,S005,SH0004,Shoes,4,109.56,10.52,70.15,New,Card
INV103259,5/22/2024 10:15,S011,C0027,Clothing,2,75.46,3.99,49.82,New,Digital
INV103549,5/22/2024 17:03,S012,C0081,Clothing,4,81.72,14.38,41.31,Returning,Card
INV103558,5/22/2024 18:37,S011,C0066,Clothing,5,63.19,6.89,31.75,New,Card
INV100073,5/22/2024 23:09,S013,SH0010,Shoes,3,51.97,6.77,40.77,New,Card
INV108551,5/22/2024 23:14,S006,C0094,Clothing,3,48.74,6.67,26.62,Returning,Cash
INV101853,5/23/2024 4:23,S011,SH0029,Shoes,5,40.95,8.03,33.66,New,Card
INV100175,5/23/2024 7:13,S008,C0077,Clothing,6,23.36,17.44,15.87,New,Card
INV106015,5/23/2024 17:31,S016,SH0019,Shoes,4,56.02,19.92,39.42,New,Digital
INV108244,5/23/2024 19:34,S016,SH0040,Shoes,1,72.9,18.27,48.94,Returning,Card
INV105728,5/23/2024 19:45,S005,SH0026,Shoes,5,79.11,3.7,50.41,Returning,Card
INV104680,5/23/2024 20:04,S011,SH0032,Shoes,3,125.53,0.4,101.08,Returning,Card
INV105741,5/23/2024 23:48,S007,SH0014,Shoes,5,57.38,10.1,47.42,Returning,Digital
INV108942,5/23/2024 23:57,S006,SH0021,Shoes,1,64.71,1.92,39.33,New,Cash
INV105189,5/24/2024 1:24,S008,A0001,Accessories,2,53.13,11.45,28.86,Returning,Card
INV104648,5/24/2024 2:09,S019,SH0039,Shoes,1,147.33,5.25,106.08,Returning,Cash
INV105260,5/24/2024 16:33,S011,C0048,Clothing,3,87.24,17.99,44.42,Returning,Card
INV104037,5/24/2024 17:39,S003,C0033,Clothing,5,43.82,5.87,22.99,New,Digital
INV101282,5/24/2024 19:49,S013,SH0012,Shoes,1,60.12,18.56,34.16,Returning,Digital
INV104421,5/25/2024 1:01,S004,C0012,Clothing,6,42.77,12.76,22.14,Returning,Digital
INV104329,5/25/2024 3:33,S012,SH0002,Shoes,5,150.81,3.84,111.27,Returning,Card
INV104360,5/25/2024 6:04,S019,SH0029,Shoes,2,176.41,9.95,149.84,Returning,Cash
INV108309,5/25/2024 7:15,S012,C0082,Clothing,4,118.03,14.39,75.16,New,Cash
INV101842,5/25/2024 7:38,S007,SH0035,Shoes,5,63.94,0.48,36.73,Returning,Card
INV102353,5/25/2024 15:44,S009,A0007,Accessories,6,40.64,8.26,24.34,Returning,Card
INV103403,5/25/2024 19:28,S016,A0053,Accessories,6,24.3,17.24,17.87,New,Digital
INV104018,5/26/2024 0:10,S009,C0046,Clothing,1,101.43,18.46,70.74,Returning,Digital
INV100625,5/26/2024 3:42,S019,SH0012,Shoes,2,193.98,4.91,122.69,Returning,Cash
INV101734,5/26/2024 4:18,S014,A0028,Accessories,3,63.09,15.43,43.84,Returning,Card
INV108869,5/26/2024 5:01,S019,SH0027,Shoes,5,117.14,1.92,68.43,New,Card
INV101749,5/26/2024 6:51,S001,A0060,Accessories,1,23.58,17.76,16.75,New,Card
INV106387,5/26/2024 9:07,S008,SH0024,Shoes,2,128.94,0.84,96.94,Returning,Cash
INV104544,5/26/2024 11:23,S018,C0021,Clothing,6,30.08,14.74,22.35,Returning,Card
INV101622,5/26/2024 20:07,S007,A0011,Accessories,1,39.01,0.62,24.38,Returning,Card
INV104071,5/27/2024 0:46,S007,SH0040,Shoes,5,193.81,12.81,128,Returning,Cash
INV107029,5/27/2024 1:46,S003,C0052,Clothing,5,49.08,14.38,30.17,Returning,Digital
INV105166,5/27/2024 4:25,S005,C0087,Clothing,5,24.86,16.89,14.9,Returning,Cash
INV109328,5/27/2024 5:05,S020,A0007,Accessories,3,19.55,17.45,11.42,New,Cash
INV106082,5/27/2024 5:20,S018,A0032,Accessories,2,62.35,9.47,39.43,New,Card
INV100726,5/27/2024 12:35,S004,SH0034,Shoes,5,118.17,10.78,83.39,New,Digital
INV101069,5/27/2024 19:03,S011,C0088,Clothing,5,57.31,0.25,31.55,Returning,Card
INV106337,5/27/2024 23:01,S011,SH0039,Shoes,4,46.18,6.4,32.44,Returning,Card
INV101650,5/27/2024 23:47,S018,C0074,Clothing,1,44.11,4.97,29.79,New,Digital
INV104164,5/27/2024 23:59,S002,SH0037,Shoes,2,107.49,5.48,61.7,Returning,Digital
INV109284,5/28/2024 6:42,S017,C0071,Clothing,2,107.09,0.23,83.13,Returning,Cash
INV102559,5/28/2024 14:02,S014,C0063,Clothing,6,72.02,10.24,37.32,Returning,Digital
INV107240,5/28/2024 15:50,S018,C0023,Clothing,2,81.7,7.08,56.97,Returning,Cash
INV104773,5/28/2024 16:09,S013,C0071,Clothing,5,34.55,1.95,23.86,New,Cash
INV107508,5/28/2024 17:28,S006,C0079,Clothing,3,78.95,5.37,57.06,Returning,Card
INV102541,5/28/2024 18:12,S012,C0100,Clothing,4,91.61,13.66,61.57,New,Digital
INV107139,5/28/2024 19:50,S012,C0057,Clothing,5,53.67,6.76,32.67,New,Cash
INV100421,5/29/2024 1:15,S012,SH0020,Shoes,2,93.37,0.37,62.37,Returning,Digital
INV106055,5/29/2024 3:47,S007,C0091,Clothing,2,43.26,2.72,32.15,New,Cash
INV107405,5/29/2024 4:19,S006,C0072,Clothing,1,101.53,12.25,79.4,Returning,Digital
INV108521,5/29/2024 4:46,S013,SH0035,Shoes,5,133.89,9.64,92.28,Returning,Card
INV108088,5/29/2024 9:02,S015,A0047,Accessories,5,30.31,2.27,13.24,Returning,Digital
INV102996,5/29/2024 12:50,S017,C0034,Clothing,5,108.51,11.98,56.74,Returning,Cash
INV104749,5/29/2024 16:53,S006,SH0035,Shoes,2,171.5,7.73,111.38,New,Digital
INV107243,5/29/2024 17:25,S002,A0044,Accessories,5,71.95,9.84,42.53,Returning,Cash
INV109719,5/29/2024 20:58,S008,C0038,Clothing,2,35.12,1.85,26.7,Returning,Cash
INV103262,5/29/2024 21:24,S012,A0001,Accessories,2,45.01,14.31,31.33,New,Card
INV104602,5/30/2024 1:30,S017,SH0031,Shoes,1,126.47,19.84,106.46,New,Digital
INV104584,5/30/2024 2:07,S010,A0041,Accessories,4,33.11,9.19,21.28,Returning,Cash
INV100873,5/30/2024 7:52,S003,A0025,Accessories,2,59.23,19.36,25.1,New,Digital
INV107491,5/30/2024 8:31,S009,SH0019,Shoes,1,177.36,10.16,127.59,Returning,Digital
INV102214,5/30/2024 8:55,S009,SH0033,Shoes,3,195.53,8.71,141.82,New,Cash
INV109696,5/30/2024 10:47,S007,SH0018,Shoes,1,85.39,5.32,67.04,Returning,Digital
INV104495,5/30/2024 15:40,S006,SH0008,Shoes,2,114.28,19.3,77.38,Returning,Card
INV106578,5/30/2024 15:44,S019,C0020,Clothing,6,67.93,10.66,52.6,Returning,Cash
INV101856,5/30/2024 19:16,S020,C0089,Clothing,3,40,11.37,31.31,Returning,Cash
INV104484,5/30/2024 23:00,S014,C0073,Clothing,1,74.68,0.1,57.29,New,Digital
INV102586,5/30/2024 23:28,S018,SH0010,Shoes,4,106.14,15.47,68.06,New,Digital
INV102880,5/31/2024 0:29,S009,C0028,Clothing,6,106.12,0.13,57.47,Returning,Card
INV109243,5/31/2024 5:00,S019,SH0021,Shoes,1,159.19,5.21,103.79,Returning,Cash
INV106458,5/31/2024 20:21,S017,A0058,Accessories,5,24.58,0.22,11.01,Returning,Cash
INV106475,6/1/2024 0:32,S020,SH0029,Shoes,2,54.92,6.72,37.16,New,Card
INV107236,6/1/2024 5:16,S013,SH0008,Shoes,1,176.64,7.01,136.89,New,Card
INV109260,6/1/2024 6:00,S006,A0041,Accessories,3,15.69,1.74,7.82,Returning,Card
INV105384,6/1/2024 9:37,S016,C0042,Clothing,1,64.99,3.03,34.74,Returning,Cash
INV109091,6/1/2024 10:18,S017,A0029,Accessories,2,45.08,11.69,22.88,New,Digital
INV107931,6/1/2024 20:27,S020,C0013,Clothing,6,52.85,17.17,27.37,New,Card
INV100001,6/1/2024 23:17,S014,C0018,Clothing,5,93.65,1.74,65.84,New,Cash
INV109613,6/2/2024 3:17,S019,C0009,Clothing,6,50.07,11.74,30.46,New,Card
INV105230,6/2/2024 6:54,S013,C0085,Clothing,5,36.89,15.6,21.58,New,Cash
INV108003,6/2/2024 9:04,S009,A0045,Accessories,5,15.44,1.19,11.03,Returning,Cash
INV102923,6/2/2024 14:51,S015,SH0038,Shoes,1,169.6,18.42,103.36,New,Digital
INV107431,6/2/2024 17:12,S001,C0033,Clothing,3,63.43,3.96,47.51,Returning,Digital
INV103935,6/2/2024 18:51,S007,C0077,Clothing,3,73.43,0.39,52.66,New,Card
INV103825,6/2/2024 23:03,S011,SH0038,Shoes,5,64.81,15.8,43.66,Returning,Cash
INV105424,6/3/2024 7:45,S005,A0039,Accessories,5,38.83,0.21,20.83,Returning,Digital
INV105304,6/3/2024 10:44,S014,A0021,Accessories,1,34.63,18.42,16.07,New,Card
INV102442,6/3/2024 11:24,S009,A0027,Accessories,6,49.02,0.09,25.66,Returning,Card
INV101533,6/3/2024 19:41,S020,SH0032,Shoes,6,165.45,7.47,108.07,Returning,Digital
INV101915,6/3/2024 20:52,S004,C0052,Clothing,5,58.8,0.73,42.81,New,Card
INV105275,6/4/2024 11:37,S015,C0022,Clothing,5,39.73,0.41,28.09,New,Cash
INV106266,6/4/2024 14:17,S007,SH0012,Shoes,2,84.53,12.82,68.52,Returning,Card
INV108285,6/4/2024 18:48,S005,SH0026,Shoes,3,188.81,15.39,106.99,New,Digital
INV108710,6/4/2024 19:04,S005,A0060,Accessories,5,69.76,3.19,50.66,New,Cash
INV102121,6/4/2024 20:42,S003,SH0021,Shoes,1,56.67,10.58,34.85,New,Digital
INV105153,6/4/2024 22:46,S016,SH0012,Shoes,2,149.82,11.54,103.61,Returning,Card
INV105952,6/5/2024 2:36,S004,SH0034,Shoes,6,69.91,19.23,48.67,Returning,Digital
INV100958,6/5/2024 5:32,S019,A0057,Accessories,5,51.78,3.97,33.36,New,Cash
INV109567,6/5/2024 8:16,S010,C0083,Clothing,3,24.07,3.48,13.97,New,Card
INV102667,6/5/2024 15:14,S013,C0008,Clothing,1,116.76,7.03,89.05,New,Cash
INV102101,6/5/2024 16:16,S019,C0066,Clothing,4,117.57,3.2,81.89,New,Card
INV105263,6/5/2024 22:29,S018,SH0015,Shoes,6,199.96,14.54,123.74,Returning,Card
INV106483,6/6/2024 1:19,S001,SH0028,Shoes,1,189.97,10.5,159.43,New,Card
INV103108,6/6/2024 2:05,S009,SH0039,Shoes,4,118.21,19.57,90.54,Returning,Cash
INV103619,6/6/2024 3:12,S011,SH0040,Shoes,6,74.48,3.47,58.9,Returning,Card
INV100253,6/6/2024 12:43,S005,C0046,Clothing,3,41.47,8.92,23.06,New,Digital
INV101800,6/6/2024 13:25,S001,C0008,Clothing,2,96.25,11.56,59.74,Returning,Cash
INV101695,6/6/2024 14:20,S013,SH0039,Shoes,6,135.56,5.47,86.08,Returning,Card
INV103770,6/6/2024 14:33,S010,SH0003,Shoes,1,157.08,2.7,120.94,New,Card
INV106147,6/6/2024 17:37,S003,SH0039,Shoes,1,153.66,14.88,118.21,Returning,Digital
INV103934,6/6/2024 21:30,S004,SH0006,Shoes,3,165.12,12.23,121.38,Returning,Cash
INV103855,6/7/2024 0:55,S007,SH0018,Shoes,1,179.23,16.08,126.58,New,Card
INV107663,6/7/2024 7:20,S002,A0025,Accessories,4,28.7,18.16,12.25,New,Card
INV105699,6/7/2024 12:50,S004,SH0039,Shoes,6,66.66,18.84,53.26,New,Card
INV103090,6/7/2024 13:27,S004,C0033,Clothing,2,74.09,13.14,42.25,Returning,Cash
INV106267,6/7/2024 15:43,S016,SH0005,Shoes,1,168.83,5.41,122.65,New,Digital
INV107999,6/7/2024 16:11,S019,SH0027,Shoes,1,191.22,19.33,119.1,New,Digital
INV109978,6/7/2024 21:22,S008,SH0035,Shoes,1,189.97,4.38,132.17,Returning,Digital
INV104520,6/7/2024 21:49,S010,A0003,Accessories,6,13.36,18.47,6.89,Returning,Card
INV104362,6/7/2024 21:52,S003,A0031,Accessories,2,47.45,2.88,23.9,Returning,Cash
INV101617,6/8/2024 5:25,S001,A0003,Accessories,5,37.77,18.03,18.94,New,Card
INV105271,6/8/2024 5:49,S018,SH0032,Shoes,2,126.85,6.7,85.54,Returning,Card
INV109203,6/8/2024 8:34,S015,SH0013,Shoes,2,190.92,15.47,132.73,Returning,Card
INV100391,6/8/2024 10:05,S007,C0008,Clothing,5,46.65,9.4,28.82,Returning,Card
INV108059,6/8/2024 12:28,S020,SH0016,Shoes,2,114.12,12.37,92.41,Returning,Digital
INV101378,6/8/2024 14:08,S007,A0043,Accessories,4,61.98,18.65,36.27,New,Cash
INV109641,6/8/2024 19:41,S001,SH0023,Shoes,5,133.57,6.82,79.39,Returning,Card
INV104677,6/8/2024 22:30,S004,C0017,Clothing,5,54.01,16.64,34.32,New,Cash
INV103663,6/9/2024 0:01,S020,A0050,Accessories,4,42.8,6.94,22.18,Returning,Card
INV107530,6/9/2024 1:32,S005,C0065,Clothing,1,48.92,4.09,36.68,New,Card
INV103916,6/9/2024 2:31,S007,A0057,Accessories,5,58.37,9,32.97,New,Cash
INV104256,6/9/2024 2:43,S010,SH0023,Shoes,2,161.85,8.45,93.89,New,Cash
INV103598,6/9/2024 5:43,S013,A0038,Accessories,1,30.37,1.32,15.96,Returning,Card
INV107403,6/9/2024 8:26,S015,SH0028,Shoes,3,85.42,14.59,48.55,Returning,Digital
INV108888,6/9/2024 8:33,S017,A0030,Accessories,2,69.21,6.55,49.23,Returning,Card
INV100323,6/9/2024 11:52,S018,C0079,Clothing,2,106.8,14.85,77.09,Returning,Cash
INV104112,6/9/2024 23:42,S006,C0084,Clothing,2,54.64,11.9,33.08,Returning,Card
INV105083,6/10/2024 5:23,S010,SH0036,Shoes,3,85.36,18.27,61.3,New,Cash
INV105703,6/10/2024 6:44,S003,SH0029,Shoes,1,123.82,6,99.55,New,Cash
INV104075,6/10/2024 7:45,S019,C0080,Clothing,4,65.99,16.67,43.47,New,Digital
INV102232,6/10/2024 8:00,S011,C0026,Clothing,1,111,16.77,73.93,New,Card
INV100645,6/10/2024 12:20,S020,SH0005,Shoes,4,165.22,1.1,93.94,Returning,Cash
INV103225,6/10/2024 14:47,S014,C0045,Clothing,1,28.21,8.17,15.71,Returning,Cash
INV108023,6/10/2024 14:55,S006,C0092,Clothing,2,23.72,5.05,12,New,Digital
INV100863,6/10/2024 20:41,S015,SH0040,Shoes,3,111.12,19.26,91.39,Returning,Card
INV109636,6/11/2024 0:30,S013,SH0020,Shoes,2,106.18,3.1,72.57,Returning,Digital
INV100728,6/11/2024 2:07,S010,A0024,Accessories,6,77.64,0,35.72,New,Digital
INV104264,6/11/2024 4:32,S018,SH0039,Shoes,5,104.29,8.66,87.48,Returning,Digital
INV103921,6/11/2024 9:30,S012,A0005,Accessories,4,13.53,13.24,9.98,Returning,Card
INV109161,6/11/2024 12:28,S001,SH0022,Shoes,2,72.99,14.41,57.4,New,Digital
INV107479,6/11/2024 14:24,S005,C0056,Clothing,1,90.21,13.85,53.03,New,Digital
INV102470,6/11/2024 16:03,S015,A0033,Accessories,1,38.05,13.48,18.99,Returning,Card
INV109410,6/11/2024 16:13,S008,SH0031,Shoes,4,118.63,11.56,76.63,Returning,Digital
INV108824,6/11/2024 19:03,S002,A0060,Accessories,2,22.6,9.53,11,Returning,Cash
INV106995,6/11/2024 23:11,S009,A0033,Accessories,5,15.34,2.39,7.3,Returning,Cash
INV108375,6/12/2024 1:43,S018,C0098,Clothing,2,69.13,0.64,48,New,Card
INV105896,6/12/2024 7:57,S018,SH0010,Shoes,6,187.15,16.95,145.71,New,Cash
INV107857,6/12/2024 8:40,S006,A0027,Accessories,1,24.5,15.75,9.87,New,Card
INV105461,6/12/2024 10:52,S017,SH0022,Shoes,6,179.53,3.34,115.44,Returning,Card
INV109884,6/12/2024 11:39,S010,A0034,Accessories,2,64.61,2.04,47.19,Returning,Digital
INV104120,6/12/2024 12:24,S013,SH0007,Shoes,6,149.45,10.93,110.97,Returning,Digital
INV104298,6/12/2024 14:09,S008,C0006,Clothing,6,98.94,11.07,56.67,New,Digital
INV108452,6/12/2024 16:10,S006,C0081,Clothing,5,51.99,16.07,27.29,New,Cash
